id;nombre;ciudad;pais;confianza;precio_noche_propuesto;plazas_propuestas;servicios_propuestos;fuentes;aplicado
0c6ef234-caa8-4b41-bb94-c6b5075a65ad;3000 Campground;;México;alta;12.57;;wc;https://yandex.com/maps/org/3000_campground/122135772027/ https://docs.google.com/forms/d/e/1FAIpQLSc9qL0RkPGTtXZfvDqejmGlz8UM136_-680Ill6I0FXEvyrug/viewform?usp=send_form https://glampings.grandhotelier.com/nuevo-leon/galeana/3000-campground/;SI
ede2cb95-cf40-4b9a-a123-263140fecada;"""La Parcela Del Valle "" ALBERCA Y CAMPING";;México;media;;;;https://www.top-rated.online/cities/Ticul/place/p/4985993/%22La+Parcela+del+Valle%22 https://www.itzimnarealestate.com/es/blog/inversion-parcela-del-valle-terrenos;NO
b39631c7-d2a7-483e-b1f4-c4a743be5cb6;Área autocaravanas Archena;Archena;España;alta;0;30;;https://www.lapaca.org/descripcion-area-de-servicio/area-de-archena https://areascamper.com/ficha/area-de-autocaravanas-en-archena/;SI
a540f32b-137d-4642-9f47-9d8b95eb113c;Área autocaravanas Granja La Carmela;Santomera;España;alta;;25;"agua,electricidad,vaciado_aguas_negras,vaciado_aguas_grises,wifi,duchas,wc,lavanderia,supermercado";https://granjalacarmela.es/ https://granjalacarmela.es/servicios-generales/ https://granjalacarmela.es/precios/;SI
da87b3a8-f8ad-4b42-a271-c2c140829a0a;Área autocaravanas Casas Nuevas;Casas Nuevas;España;alta;0;21;;https://territoriosierraespuna.com/wp-content/uploads/2025/07/Memoria-CETS-ano-2024.pdf https://park4night.com/es/place/375487 https://areascamper.com/ficha/area-autocaravanas-casas-nuevas-mula-murcia/;SI
d1411fa8-d829-4f1d-8130-d3cdbdef9129;Área autocaravanas Caravaca de la Cruz;Caravaca de la Cruz;España;alta;0;20;;https://nueva.turismocaravaca.com/es/zona-autocaravanas https://www.mapafurgocasa.com/area/area-autocaravanas-caravaca-de-la-cruz-caravaca-de-la-cruz https://viajandoconmanuela.com/viajes/caravaca-de-la-cruz-en-autocaravana/;SI
f9bda87c-b5aa-48ce-b188-17a52dc30324;Área autocaravanas Aníbal;Águilas;España;alta;11;;;https://www.anibalestaciondeservicio.com/servicios/motorhomes https://areascamper.com/ficha/area-de-autocaravanas-en-aguilas-anibal/ https://park4night.com/es/place/28654;SI
6f86bf03-ef3b-420e-a238-4e304b14b3c0;Área autocaravanas Los Narejos;Los Alcázares;España;alta;;;;https://www.areanarejos.com/ubicacion/ https://areascamper.com/ficha/area-de-autocaravanas-en-los-narejos/ https://park4night.com/es/place/31520;NO
6a3f1aad-a50b-49e4-85a6-fb0fb0fa5705;Área autocaravanas Maravilla Parking;Cehegín;España;alta;12;10;"agua,electricidad,vaciado_aguas_negras,vaciado_aguas_grises,wifi,duchas,wc,lavanderia";https://park4night.com/en/place/240252 https://www.campercontact.com/es/espana/region-de-murcia/cehegin/102566/maravilla-parking https://www.murcianatural.com/planifica-tu-visita/maravilla-parking-area-de-autocaravanas-caravanas-y-campers/;SI
28abe85a-e2f4-4e7a-8727-730ea7bf22a0;Área autocaravanas Las Torres de Cotillas;Las Torres de Cotillas;España;alta;0;;"agua,restaurante,supermercado";https://www.lastorresdecotillas.es/node/73421 https://www.lastorresdecotillas.es/inaugurada-oficialmente-el-area-para-autocaravanas-de-las-torres-de-cotillas https://www.mapafurgocasa.com/area/area-autocaravanas-las-torres-de-cotillas-las-torres-de-cotillas;SI
65346c05-b83d-4f85-879f-aff17e7e5288;Área autocaravanas Murcia;Murcia;España;alta;0;;;https://park4night.com/en/place/31723 https://www.campercontact.com/nl/spanje/murcia/murcia/61190/area-autocaravanas-murcia https://camperguru.com/es/spot/area-de-autocaravanas-murcia/;SI
8930d824-9805-407a-b8aa-2548c05bea9d;Área autocaravanas Sol Calnegre;Puntas de Calnegre;España;alta;12;100;"agua,electricidad,vaciado_aguas_negras,vaciado_aguas_grises,wifi,duchas,wc,lavanderia,restaurante,zona_mascotas";https://areasolcalnegre.com/ https://areasolcalnegre.com/tarifas/;SI
2d69ead0-94f3-42b5-ae39-9dfcbf5dbf94;Área autocaravanas Yecla;Yecla;España;alta;0;30;"agua,vaciado_aguas_negras,vaciado_aguas_grises";https://turismo.yecla.es/puntos-de-interes/area-de-servicio-de-autocaravanas/;SI
5f2e198a-4ce8-4805-8bfa-4e2f56ac665d;Área autocaravanas Tortuga Mora;Calabardina;España;alta;;40;"agua,electricidad,vaciado_aguas_negras,vaciado_aguas_grises,wifi,duchas,wc,lavanderia,restaurante";https://autocaravanastortugamora.com/ https://autocaravanastortugamora.com/opiniones/ https://areascamper.com/ficha/area-de-autocaravanas-tortuga-mora-en-aguilas/;SI
422f4a32-6cba-4949-98aa-099570ef8e27;Área autocaravanas Puerto Lumbreras;Puerto Lumbreras;España;alta;0;5;"agua,electricidad,vaciado_aguas_negras,vaciado_aguas_grises,restaurante,supermercado";https://www.puertolumbreras.es/ayuntamiento/tag/nuevo-enclave/ https://park4night.com/es/place/389827 https://meinwomo.net/area-camper/espa-a-puerto-lumbreras-2617747.htm;SI
3d462df8-64ff-4f02-b567-0fb1bd886123;Camper Park Cartagena;Cartagena;España;alta;4;37;;https://areascamper.com/ficha/area-de-autocaravanas-en-cartagena-dolores/;SI
d56b218c-072d-44b1-9502-bf389021969a;Área Camper El Moreral;;España;alta;14;;"agua,electricidad,vaciado_aguas_negras,vaciado_aguas_grises,wifi,duchas,wc,lavanderia,restaurante,supermercado";https://www.areacamperelmoreral.com/ https://www.areasac.es/mazarron/murcia/mazarron-el-moreral_8167_1_ap.html https://areascamper.com/ficha/area-autocaravanas-el-moreral-en-mazarron-murcia/;SI
